keys,pt_BR,en,es,fr,zh_CN,ja,de
Opções,Opções,Options,,,,,
Volume,Volume,Volume,,,,,
Tela cheia,Tela cheia,Fullscreen,,,,,
Voltar,Voltar,Back,,,,,
Pausado,Pausado,Paused,,,,,
Retomar,Retomar,Resume,,,,,
Sair para o menu,Sair para o menu,Exit to menu,,,,,
Gostou da cor?,Gostou da cor?,Did you like the color?,,,,,
Gostei,Gostei,I liked it,,,,,
Trocar,Trocar,Change,,,,,
Escolha uma cor nova,Escolha uma cor nova,Choose a new color,,,,,
Continuar,Continuar,Continue,,,,,
Jogar,Jogar,Play,,,,,
Novo Jogo,Novo Jogo,New Game,,,,,
Conquistas,Conquistas,Achievements,,,,,
Sair,Sair,Quit,,,,,
Escolha o modo,Escolha o modo,Choose the mode,,,,,
Apagar save,Apagar save,Delete save,,,,,
"Apagar o save? A partida em andamento se perde (conquistas ficam salvas).","Apagar o save? A partida em andamento se perde (conquistas ficam salvas).","Delete the save? The current playthrough is lost (achievements stay saved).",,,,,
Apagar,Apagar,Delete,,,,,
Cancelar,Cancelar,Cancel,,,,,
Limpar conquistas,Limpar conquistas,Clear achievements,,,,,
"Apagar todas as conquistas? Isso não dá pra desfazer.","Apagar todas as conquistas? Isso não dá pra desfazer.","Delete every achievement? This cannot be undone.",,,,,
%d de %d,%d de %d,%d of %d,,,,,
Rápido,Rápido,Fast,,,,,
Normal,Normal,Normal,,,,,
Realista,Realista,Realistic,,,,,
Viu todas as demãos de uma tinta,Viu todas as demãos de uma tinta,Watched every coat of a paint dry,,,,,
Viu as demãos da cor vermelho,Viu as demãos da cor vermelho,Watched the red coats dry,,,,,
Viu as demãos da cor laranja,Viu as demãos da cor laranja,Watched the orange coats dry,,,,,
Viu as demãos da cor amarelo,Viu as demãos da cor amarelo,Watched the yellow coats dry,,,,,
Viu as demãos da cor verde,Viu as demãos da cor verde,Watched the green coats dry,,,,,
Viu as demãos da cor violeta,Viu as demãos da cor violeta,Watched the violet coats dry,,,,,
Viu as demãos da cor rosa,Viu as demãos da cor rosa,Watched the pink coats dry,,,,,
Viu todas as cores secarem no modo rápido,Viu todas as cores secarem no modo rápido,Watched every color dry in Fast mode,,,,,
Viu todas as cores secarem no modo normal,Viu todas as cores secarem no modo normal,Watched every color dry in Normal mode,,,,,
Viu todas as cores secarem no modo realista,Viu todas as cores secarem no modo realista,Watched every color dry in Realistic mode,,,,,
Amarelo,Amarelo,Yellow,,,,,
Azul,Azul,Blue,,,,,
Laranja,Laranja,Orange,,,,,
Rosa,Rosa,Pink,,,,,
Verde,Verde,Green,,,,,
Vermelho,Vermelho,Red,,,,,
Violeta,Violeta,Violet,,,,,
"Conquista desbloqueada:
%s","Conquista desbloqueada:
%s","Achievement unlocked:
%s",,,,,
IDIOMA_NOME_PT,Português,Portuguese,,,,,
IDIOMA_NOME_EN,Inglês,English,,,,,
IDIOMA_NOME_ES,Espanhol,Spanish,,,,,
IDIOMA_NOME_FR,Francês,French,,,,,
IDIOMA_NOME_ZH,Chinês,Chinese,,,,,
IDIOMA_NOME_JA,Japonês,Japanese,,,,,
IDIOMA_NOME_DE,Alemão,German,,,,,
